City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,San Quintin,MX,2021-12-28 01:49:07,30.4833,-115.95,55.99,61,96,16.64
67,Dikson,RU,2021-12-28 01:49:07,73.5069,80.5464,-4.49,88,98,12.35
68,Waipawa,NZ,2021-12-28 01:49:07,-41.4122,175.5153,64.45,96,100,3.2
69,Salinopolis,BR,2021-12-28 01:49:08,-0.6136,-47.3561,77.88,87,26,8.21
70,Changping,CN,2021-12-28 01:49:09,40.2186,116.2197,26.24,22,0,4.45
71,Haines Junction,CA,2021-12-28 01:49:09,60.7522,-137.5108,8.55,78,100,3.44
72,Romans-Sur-Isere,FR,2021-12-28 01:49:10,45.0464,5.0562,48.97,91,100,5.95
73,Rajapur,IN,2021-12-28 01:49:10,25.3833,81.15,57.65,64,96,6.42
74,Albany,US,2021-12-28 01:47:22,42.6001,-73.9662,32.09,80,100,1.99
75,Chifeng,CN,2021-12-28 01:47:47,42.2683,118.9636,18.39,38,0,4.45
76,Lorengau,PG,2021-12-28 01:49:11,-2.0226,147.2712,81.68,80,100,5.19
77,Avarua,CK,2021-12-28 01:49:12,-21.2078,-159.775,77.05,73,90,11.5
78,Simpang,ID,2021-12-28 01:49:12,-1.2667,104.0833,76.78,91,100,3.13
79,Saint-Pierre,RE,2021-12-28 01:49:13,-21.3393,55.4781,74.84,81,40,4.61
80,Atar,MR,2021-12-28 01:49:13,20.5169,-13.0499,70.45,22,96,7.92
81,Koronowo,PL,2021-12-28 01:49:14,53.3137,17.937,20.3,91,9,10.54
82,Cattolica,IT,2021-12-28 01:49:14,43.9575,12.7376,47.32,96,75,7.0
83,Yellowknife,CA,2021-12-28 01:45:02,62.456,-114.3525,-28.71,80,20,9.22
84,Atuona,PF,2021-12-28 01:49:15,-9.8,-139.0333,79.25,76,91,17.52
85,Bathsheba,BB,2021-12-28 01:49:15,13.2167,-59.5167,77.61,73,20,11.5
86,Pyapon,MM,2021-12-28 01:49:16,16.2833,95.6833,75.07,55,10,8.86
