City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Risor,NO,58.7206,9.2342,26.29,82,100,8.28,overcast clouds
79,Barrow,US,71.2906,-156.7887,-23.78,76,1,8.05,clear sky
80,San Vicente,AR,-26.6167,-54.1333,72.14,28,96,3.4,overcast clouds
81,Yerbogachen,RU,61.2767,108.0108,-23.44,98,91,2.59,overcast clouds
82,Ngama,TD,11.7833,17.1667,69.26,22,94,11.27,overcast clouds
83,Kaitangata,NZ,-46.2817,169.8464,57.92,64,71,5.95,broken clouds
84,Muroto,JP,33.2833,134.15,44.64,61,58,7.54,broken clouds
85,Tiksi,RU,71.6872,128.8694,-17.88,100,100,4.09,overcast clouds
86,Dohar,BD,23.5883,90.1469,66.18,57,45,4.76,scattered clouds
87,Vardo,NO,70.3705,31.1107,20.88,86,48,11.43,scattered clouds
88,Souillac,MU,-20.5167,57.5167,78.37,78,40,11.5,scattered clouds
89,Muros,ES,42.7762,-9.0603,62.85,92,100,13.67,overcast clouds
90,Luderitz,NA,-26.6481,15.1594,62.17,79,0,7.52,clear sky
91,Buin,CL,-33.7333,-70.75,75.74,68,0,4.52,clear sky
92,Placido De Castro,BR,-10.3353,-67.1856,74.93,92,58,3.04,broken clouds
93,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,100,75,23.24,broken clouds
94,Paka,MY,4.6374,103.4368,76.93,94,40,2.3,scattered clouds
95,Saint-Philippe,RE,-21.3585,55.7679,76.59,85,100,15.12,light rain
96,Sola,VU,-13.8833,167.55,82.92,77,94,10.51,overcast clouds
97,Banyo,CM,6.75,11.8167,67.78,34,99,2.95,overcast clouds
98,Paysandu,UY,-32.3214,-58.0756,90.61,19,100,9.91,overcast clouds
99,Chokurdakh,RU,70.6333,147.9167,-46.1,100,90,2.13,overcast clouds
100,Thinadhoo,MV,0.5333,72.9333,81.34,75,70,12.64,broken clouds
101,Prainha,BR,-1.8,-53.48,72.54,92,99,2.98,overcast clouds
102,Teberda,RU,43.4456,41.7448,29.8,79,100,6.46,overcast clouds
103,Kavaratti,IN,10.5669,72.642,80.11,74,33,10.71,scattered clouds
104,Dikson,RU,73.5069,80.5464,3.2,88,100,14.14,overcast clouds
105,Veraval,IN,20.9,70.3667,65.25,75,0,12.48,clear sky
106,Independence,US,39.0911,-94.4155,45.88,60,1,1.99,clear sky
107,Lata,PT,40.1629,-8.3327,59.81,94,100,3.36,overcast clouds
108,Lorengau,PG,-2.0226,147.2712,83.98,73,100,4.9,overcast clouds
109,Nanortalik,GL,60.1432,-45.2371,22.93,66,0,4.76,clear sky
110,Dharchula,IN,29.85,80.5333,44.35,88,100,0.72,overcast clouds
111,Cape Town,ZA,-33.9258,18.4232,62.11,80,75,1.01,broken clouds
112,Norman Wells,CA,65.282,-126.8329,-29.16,68,40,2.3,scattered clouds
113,Namibe,AO,-15.1961,12.1522,69.06,67,80,8.57,broken clouds
114,Saint-Augustin,CA,51.226,-58.6502,16.39,93,26,6.98,scattered clouds
115,Deputatskiy,RU,69.3,139.9,-35.21,100,80,2.04,broken clouds
116,Bilma,NE,18.6853,12.9164,59.94,22,0,11.7,clear sky
117,Roanoke Rapids,US,36.4615,-77.6542,63.21,100,1,5.75,clear sky
118,Atar,MR,20.5169,-13.0499,69.96,19,0,7.34,clear sky
119,Qaanaaq,GL,77.484,-69.3632,-3.21,51,22,6.13,few clouds
120,Lagoa,PT,39.05,-27.9833,61.09,83,100,19.44,overcast clouds
121,Sinnamary,GF,5.3833,-52.95,76.84,91,100,8.77,overcast clouds
122,Puerto Carreno,CO,6.189,-67.4859,83.16,56,100,13.47,overcast clouds
123,Provideniya,RU,64.3833,-173.3,9.07,95,100,7.9,snow
124,Leh,IN,34.1667,77.5833,-5.01,67,21,4.12,few clouds
125,Alibag,IN,18.6411,72.8792,71.67,67,0,10.85,clear sky
126,Hithadhoo,MV,-0.6,73.0833,82.13,73,95,13.67,overcast clouds
127,Tura,IN,25.5198,90.2201,58.8,62,100,4.0,light rain
128,Emmett,US,43.8735,-116.4993,27.77,72,100,5.01,overcast clouds
129,Cockburn Town,TC,21.4612,-71.1419,78.93,77,45,19.3,scattered clouds
130,Newport,GB,51.5877,-2.9984,49.44,92,100,7.43,overcast clouds
131,Kashi,CN,39.4547,75.9797,18.61,67,0,6.71,clear sky
132,Axim,GH,4.8699,-2.2405,79.59,83,100,5.46,overcast clouds
133,Taltal,CL,-25.4,-70.4833,67.32,77,2,6.98,clear sky
134,Salaga,GH,8.5508,-0.5188,79.81,20,99,4.72,overcast clouds
135,Dzialdowo,PL,53.2396,20.17,24.57,94,100,16.73,overcast clouds
136,Brae,GB,60.3964,-1.353,44.51,87,100,6.82,overcast clouds
137,Pevek,RU,69.7008,170.3133,-29.25,96,100,2.13,overcast clouds
138,Bluff,NZ,-46.6,168.3333,60.8,64,100,14.2,overcast clouds
139,Ios,GR,36.7333,25.2833,62.06,66,99,5.99,overcast clouds
